student_id,programme,semester,cgpa,previous_grade,exam_score,study_hours_per_week,attendance_pct,lms_activity,assignment_completion_pct,class_participation,adaptive_assessment,continuous_evaluation,learning_coefficient,final_score,grade
S0001,BTech,4,8.2,78,74,18,85,7,90,7,7,8,0.7325,79.4,A
S0002,BCA,3,6.5,61,58,10,72,5,75,5,5,6,0.5500,63.1,B+
S0003,MCA,5,9.1,88,91,25,95,9,98,9,9,9,0.8575,90.2,O
S0004,BTech,2,5.3,48,44,8,60,4,65,4,4,5,0.4575,49.8,B
S0005,MBA,6,7.8,75,70,20,82,8,88,8,8,7,0.7200,76.3,A
S0006,BTech,1,4.2,35,38,5,50,3,55,3,3,4,0.3575,38.5,C
S0007,BCA,7,8.8,85,82,22,91,8,93,8,8,8,0.7800,85.7,A+
S0008,MCA,4,7.0,68,65,14,78,6,80,6,6,7,0.6200,68.4,A
S0009,BTech,3,3.5,28,30,3,40,2,45,2,2,3,0.2750,30.1,F
S0010,MBA,5,9.5,92,95,30,98,10,100,10,10,10,0.9250,96.8,O
